Brand,All_Listings_Count,Current_Listings_Count,Date,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Birkenstock,1824.0,295.0,4/23/2024,,,,,,,,Row Labels,Sum of All_Listings_Count,Sum of Current_Listings_Count
Buffalo David Bitton,2.0,1.0,4/23/2024,,,,,,,,11741647753954365534,2,0
Champion,813.0,52.0,4/23/2024,,,,,,,,4/29/2024,1,0
Cole Haan,777.0,72.0,4/23/2024,,,,,,,,4/30/2024,1,0
Columbia,2635.0,234.0,4/23/2024,,,,,,,,337814064430955391,2,0
Kate Spade,1.0,0.0,4/23/2024,,,,,,,,4/29/2024,1,0
Kate Spade New York,31.0,12.0,4/23/2024,,,,,,,,4/30/2024,1,0
Lacoste,17.0,5.0,4/23/2024,,,,,,,,4338125481855925119,2,0
Laura Mercier,4.0,2.0,4/23/2024,,,,,,,,4/29/2024,1,0
NIKE,4.0,0.0,4/23/2024,,,,,,,,4/30/2024,1,0
New Balance,3867.0,633.0,4/23/2024,,,,,,,,5065273244348073868,2,0
Nike,2937.0,255.0,4/23/2024,,,,,,,,4/29/2024,1,0
Skechers,3419.0,210.0,4/23/2024,,,,,,,,4/30/2024,1,0
Speedo,303.0,26.0,4/23/2024,,,,,,,,9302125865549642994,2,0
Steve Madden,2871.0,218.0,4/23/2024,,,,,,,,4/29/2024,1,0
THE NORTH FACE,2023.0,620.0,4/23/2024,,,,,,,,4/30/2024,1,0
TYR,1.0,0.0,4/23/2024,,,,,,,,9823989120448250731,2,0
Tommy Hilfiger,1.0,0.0,4/23/2024,,,,,,,,4/29/2024,1,0
Tory Burch,54.0,15.0,4/23/2024,,,,,,,,4/30/2024,1,0
Birkenstock,1824.0,280.0,4/24/2024,,,,,,,,Birkenstock,15312,1532
Buffalo David Bitton,2.0,1.0,4/24/2024,,,,,,,,4/23/2024,1824,295
Champion,813.0,50.0,4/24/2024,,,,,,,,4/24/2024,1824,280
Cole Haan,777.0,61.0,4/24/2024,,,,,,,,4/25/2024,1824,324
Columbia,2635.0,240.0,4/24/2024,,,,,,,,4/26/2024,1824,324
Kate Spade,1.0,0.0,4/24/2024,,,,,,,,4/27/2024,1824,283
Kate Spade New York,31.0,10.0,4/24/2024,,,,,,,,4/29/2024,3096,13
Lacoste,17.0,5.0,4/24/2024,,,,,,,,4/30/2024,3096,13
Laura Mercier,4.0,2.0,4/24/2024,,,,,,,,Buffalo David Bitton,48,4
NIKE,4.0,0.0,4/24/2024,,,,,,,,4/23/2024,2,1
New Balance,3867.0,610.0,4/24/2024,,,,,,,,4/24/2024,2,1
Nike,2937.0,258.0,4/24/2024,,,,,,,,4/25/2024,2,1
Skechers,3419.0,204.0,4/24/2024,,,,,,,,4/26/2024,2,1
Speedo,303.0,27.0,4/24/2024,,,,,,,,4/27/2024,2,0
Steve Madden,2871.0,200.0,4/24/2024,,,,,,,,4/29/2024,19,0
THE NORTH FACE,2023.0,604.0,4/24/2024,,,,,,,,4/30/2024,19,0
TYR,1.0,0.0,4/24/2024,,,,,,,,Carhartt,3756,0
Tommy Hilfiger,1.0,0.0,4/24/2024,,,,,,,,4/29/2024,1878,0
Tory Burch,54.0,16.0,4/24/2024,,,,,,,,4/30/2024,1878,0
Birkenstock,1824.0,324.0,4/25/2024,,,,,,,,Champion,4885,206
Buffalo David Bitton,2.0,1.0,4/25/2024,,,,,,,,4/23/2024,813,52
Champion,813.0,24.0,4/25/2024,,,,,,,,4/24/2024,813,50
Cole Haan,777.0,87.0,4/25/2024,,,,,,,,4/25/2024,813,24
Columbia,2635.0,226.0,4/25/2024,,,,,,,,4/26/2024,7,0
Kate Spade,1.0,0.0,4/25/2024,,,,,,,,4/27/2024,813,28
Kate Spade New York,31.0,10.0,4/25/2024,,,,,,,,4/29/2024,813,26
Lacoste,17.0,3.0,4/25/2024,,,,,,,,4/30/2024,813,26
Laura Mercier,4.0,2.0,4/25/2024,,,,,,,,Cole Haan,5707,513
NIKE,4.0,0.0,4/25/2024,,,,,,,,4/23/2024,777,72
New Balance,3867.0,756.0,4/25/2024,,,,,,,,4/24/2024,777,61
Nike,2937.0,301.0,4/25/2024,,,,,,,,4/25/2024,777,87
Skechers,3419.0,166.0,4/25/2024,,,,,,,,4/26/2024,777,87
Speedo,303.0,23.0,4/25/2024,,,,,,,,4/27/2024,777,80
Steve Madden,2871.0,199.0,4/25/2024,,,,,,,,4/29/2024,911,63
THE NORTH FACE,2023.0,646.0,4/25/2024,,,,,,,,4/30/2024,911,63
TYR,1.0,0.0,4/25/2024,,,,,,,,Columbia,18445,926
Tommy Hilfiger,1.0,0.0,4/25/2024,,,,,,,,4/23/2024,2635,234
Tory Burch,54.0,19.0,4/25/2024,,,,,,,,4/24/2024,2635,240
Birkenstock,1824.0,324.0,4/26/2024,,,,,,,,4/25/2024,2635,226
Buffalo David Bitton,2.0,1.0,4/26/2024,,,,,,,,4/26/2024,2635,226
Cole Haan,777.0,87.0,4/26/2024,,,,,,,,4/27/2024,2635,0
Columbia,2635.0,226.0,4/26/2024,,,,,,,,4/29/2024,2635,0
Kate Spade,1.0,0.0,4/26/2024,,,,,,,,4/30/2024,2635,0
Kate Spade New York,31.0,10.0,4/26/2024,,,,,,,,Free People,174,0
Lacoste,17.0,3.0,4/26/2024,,,,,,,,4/29/2024,87,0
Laura Mercier,4.0,2.0,4/26/2024,,,,,,,,4/30/2024,87,0
NIKE,4.0,0.0,4/26/2024,,,,,,,,Kate Spade,17,0
New Balance,3867.0,756.0,4/26/2024,,,,,,,,4/23/2024,1,0
Skechers,3419.0,166.0,4/26/2024,,,,,,,,4/24/2024,1,0
Steve Madden,2871.0,199.0,4/26/2024,,,,,,,,4/25/2024,1,0
THE NORTH FACE,2023.0,646.0,4/26/2024,,,,,,,,4/26/2024,1,0
TYR,1.0,0.0,4/26/2024,,,,,,,,4/27/2024,1,0
Tommy Hilfiger,1.0,0.0,4/26/2024,,,,,,,,4/29/2024,6,0
Tory Burch,54.0,19.0,4/26/2024,,,,,,,,4/30/2024,6,0
Champion,7.0,0.0,4/26/2024,,,,,,,,Kate Spade New York,385,42
Nike,3.0,0.0,4/26/2024,,,,,,,,4/23/2024,31,12
